location,year,catch,direct_consumption,fishmeal_and_fish_oil,other_usage
Australia,1965,138329.43854251585,138238.05972719003,51.956297665400015,39.42251766040001
Australia,1966,146220.02501349204,146119.42655905004,58.759797223000014,41.838657219000005
Australia,1967,155133.90771969617,155029.88561759,60.1688010546,43.8533010516
Australia,1968,165811.07756728522,165708.18557259504,57.0429273451,45.8490673451
Australia,1969,171441.90948125147,171340.87294093505,56.6698801587,44.36666015769999
Australia,1970,191418.7146607056,190633.174125096,736.6925245583,48.84801105129999
Australia,1971,232080.5522665342,231308.574383366,718.6855897485999,53.29229341959999
Australia,1972,238765.25856361684,238028.49062271105,684.2705187544,52.49742215140001
Australia,1973,252626.766848336,251708.00830115,862.6248718940001,56.13367529200001
Australia,1974,289787.8108548212,288612.491064447,1112.5508739395996,62.7689164346
Australia,1975,231687.35716192023,230712.98330591203,921.4211442900996,52.95271171809999
Australia,1976,258857.78665428443,258191.13540150705,609.7249225747,56.9263302027
Australia,1977,295230.9688258506,294638.295219575,531.0306063342999,61.64299994129999
Australia,1978,299804.6816899047,299232.21994428494,504.6200593539,67.84168626590001
Australia,1979,319782.6709520028,319144.93711103004,565.2580804314001,72.47576054139999
Australia,1980,286820.20752087905,286141.87198457,602.3088905300001,76.02664577899999
Australia,1981,377292.985779898,376353.883275744,853.6806428610001,85.42186129300003
Australia,1982,392990.6493922181,392245.511728422,653.183077325,91.954586471
Australia,1983,392897.441770246,392093.718199216,709.6400468470001,94.08352418299998
Australia,1984,370559.292647888,369641.84658206,829.6197719690002,87.82629385900003
Australia,1985,370058.61044799886,358919.23617503786,11057.682399292002,81.691873669
Australia,1986,367376.866927346,345193.991190487,22101.021749266,81.85398759299997
Australia,1987,409403.70332517097,372446.681040407,36868.59760517899,88.42467958500002
Australia,1988,420380.085025253,391174.211176715,29111.957815825,93.916032713
Australia,1989,405957.7889774652,397668.9480569352,8196.276838926999,92.56408160300003
Australia,1990,414199.81823185313,401177.0931172552,12753.314889484998,269.4102251130001
Australia,1991,457742.663056228,439149.810696069,18101.37634054,491.476019619
Australia,1992,429440.3054625389,399982.6799853668,28584.301605581,873.3238715909999
Australia,1993,407738.11711268994,390387.3795977099,16078.505557498,1272.2319574820003
Australia,1994,385196.591205176,376233.294497331,7243.116839994,1720.1798678510002
Australia,1995,411604.096346128,395134.022279474,14556.936978439,1913.137088215
Australia,1996,375342.1960497271,367873.7072323281,5156.3887386080005,2312.100078791
Australia,1997,400080.1574049842,385342.388587353,12350.099533368098,2387.669284263101
Australia,1998,412203.9991022509,397456.39135002793,11563.728579662002,3183.8791725609985
Australia,1999,407475.6853158919,397425.7846631019,7359.283507219,2690.6171455710005
Australia,2000,363306.780293188,357179.08059527096,3556.5404272210008,2571.1592706960014
Australia,2001,374751.6392673331,367060.1195935631,2599.248579823001,5092.271093947001
Australia,2002,311619.77813858,297801.384603865,3797.196102799001,10021.197431916002
Australia,2003,331907.02850289096,308314.211839098,5036.249150256998,18556.567513536003
Australia,2004,339924.35504545004,304458.716762149,7229.867679150002,28235.77060415101
Australia,2005,321360.20122922,287867.950913429,1516.4219404609996,31975.82837533
Australia,2006,293720.36881523696,264898.400719364,5392.366601453999,23429.601494419006
Australia,2007,274295.923820752,244102.03504871303,1095.459544015,29098.429228024
Australia,2008,267193.2790154059,236359.33623967995,951.653422354,29882.289353372
Australia,2009,258062.66230927897,222001.072201296,3331.057390379001,32730.532717604
Australia,2010,264958.368422534,233388.82416444493,534.19088464,31035.353373449005
Australia,2011,253509.031708528,221585.15737336,207.79601175100004,31716.07832341699
Australia,2012,271461.79200493504,240151.809214438,321.242307553,30988.740482944
Australia,2013,259282.02046040905,229775.39888872503,375.5033643519999,29131.118207332
Australia,2014,230570.93853862,200464.80727506,300.1486909460001,29805.982572614
Australia,2015,238169.2232976529,204429.87935358792,892.4867953339999,32846.857148731
Australia,2016,254583.2751156519,254411.2110100059,86.03205282299997,86.03205282299997
Australia,2017,253985.90602682903,253811.39004545505,87.257990687,87.257990687
